gname	totalEvents	totalKilled	totalWounded	foreignTarget	ratioForeignTarget
Al-Sunna wal Jamma	1	3	0	0	0
Al-Sunni muslim sect	1	1	3	0	0
Al-Toaiman Tribesmen	1	0	0	1	1
Al-Umar Mujahideen	10	24	42	0	0
Al-Yemenia al-Ulia Tribesmen	1	0	0	1	1
Al-Zaidi Tribe - Mareb	1	0	0	1	1
Albanian exiles	1	0	7	0	0
Albanian National Army (ANA)	6	2	4	1	0.166666666666667
Albanian Separatists	2	0	0	1	0.5
Albanians	32	12	57	13	0.40625
Albatros Commando	1	0	0	0	0
Alcubar group	1	1	7	0	0
Alejo Calatayu	2	0	0	2	1
Alex Boncayao Brigade (ABB)	11	7	6	2	0.181818181818182
Alexander Villalon (YADO)	1	0	0	0	0
Alexandros Grigoropoulos Anarchist Attack Group	1	0	0	0	0
Alfa 83	1	0	0	0	0
Alfaro Vive	27	18	1	4	0.148148148148148
Algeisk Wolves	3	1	0	3	1
Algerian Islamic Extremists	373	551	671	2	0.00536193029490617
Algerian Moslem Fundamentalists	3	25	5	0	0
Algerian Moujahideen for Moslems	1	0	0	0	0
All Burma Students' Democratic Front (ABSDF)	5	1	5	0	0
All Ethiopian Unity Party (AEUP)	1	0	0	0	0
All for the Fatherland Movement	1	0	0	0	0
All India Anna Dravida Munetra Kazgan Party	3	9	12	0	0
All India Sikh Students Federation (AISSF)	5	1	17	0	0
All Kamatapur Liberation Force	1	0	0	0	0
All Karanataka Youth Council	1	0	0	1	1
All Nepal Free Nationalist Students Union	1	0	0	0	0
All Nepal National Free Student Union-Revolutionary	1	0	6	0	0
All Tripura Tiger Force (ATTF)	13	95	48	2	0.153846153846154
All-Party Students Union	1	1	10	0	0
Allah's Tigers	2	1	0	0	0
Allende Lives Commando	1	0	0	0	0
Alliance of Revolutionary Cuban Organizations	1	0	0	1	1
Allied Democratic Forces (ADF)	41	311	137	0	0
Allied Democratic Forces of Guinea (RDFG)	1	0	0	0	0
Alpha-66 (Cuban counterrevolutionary)	1	1	0	0	0
Amal	27	24	50	11	0.407407407407407
Amazonas Liberation Front	1	0	0	0	0
America Battalion	6	83	7	1	0.166666666666667
American Anticommunist Association (AAA)	1	0	0	0	0
American Indian Movement	6	2	2	0	0
American Servicemen's Union (ASU)	3	0	0	0	0
Americans for a Competent Federal Judicial System	5	2	9	0	0
Americans for Justice	2	0	0	0	0
Amhara tribal group	1	61	0	0	0
Amr Bil Maroof Wa Nahi Anil Munkir	3	0	0	0	0
Ana Maria Martinly August 22 Brigade	1	1	0	0	0
Ananda Marga	2	4	1	1	0.5
Anarchio Scene	1	0	0	1	1
Anarchist Action (CA / United States)	1	0	0	0	0
Anarchist Faction	2	0	0	2	1
Anarchist Liberation Brigade	1	0	0	0	0
Anarchist Solidarity	2	0	0	0	0
Anarchist Squad	1	0	0	0	0
Anarchist Struggle	1	0	0	1	1
Anarchists	33	0	0	3	0.0909090909090909
Anarchists Attack Team	1	0	0	0	0
Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)	1	0	0	0	0
Anbar Salvation Council	1	1	0	0	0
Andres Castro United Front	3	3	1	1	0.333333333333333
Angels	1	30	0	0	0
Angola Rebels	2	43	6	0	0
Angolan Defense Force	1	62	1	1	1
Angry Brigade	2	0	0	1	0.5
Angry Brigade (Italy)	2	0	0	0	0
Animal Defense League	1	0	0	0	0
Animal Liberation Front (ALF)	107	0	3	5	0.0467289719626168
Animal Rights Activists	15	0	5	0	0
Animal Rights Militia	3	0	1	0	0
Anonima Sequestri	1	0	0	0	0
Anonymous Underground Movement (MCA)	1	0	0	1	1
Ansar Al Sunnah (Palestine)	3	1	0	1	0.333333333333333
Ansar al-Din	1	0	0	1	1
Ansar al-Islam	25	88	170	3	0.12
Ansar al-Jihad	1	0	0	0	0
Ansar al-Sunna	17	164	323	4	0.235294117647059
Ansar al-Tahwid wal Sunna	1	0	0	1	1
Ansar Allah	1	21	0	0	0
Ansar Sarallah	1	0	3	0	0
Ansar Wa Mohajir (Pakistan)	2	1	4	0	0
Ansarul Islam (Pakistan)	2	31	100	0	0
Anti - Election Demonstrators	1	0	0	0	0
Anti Communist Action Alliance	1	0	0	0	0
Anti Communist Patriotic Front	2	3	1	0	0
Anti Communist Vigilante Patrol	1	1	0	0	0
Anti Imperialist Patriotic Union	1	1	0	0	0
Anti Imperialist Students Council	1	0	0	0	0
Anti Imperialistic Communist Revolutionaries	2	0	0	0	0
Anti Kurdish Workers Party Iraq nationals	1	60	0	0	0
Anti Shah of Iran	1	0	0	0	0
Anti Somoza Gp, name unk	1	0	1	0	0
Anti Turkish Group	1	6	0	0	0
Anti-Abortion Activists	171	4	18	2	0.0116959064327485
Anti-AF	1	0	0	1	1
Anti-American Arab Liberation Front	1	3	230	1	1
Anti-Apostate Movement Alliance (AGAP)	1	0	1	0	0
Anti-Armenian Organization	2	0	13	2	1
Anti-Authority Group (Greece)	13	0	5	2	0.153846153846154
Anti-Bhutto demonstrators	1	0	4	0	0
Anti-Capitalist Action	1	0	0	0	0
Anti-Capitalist Brigades	1	1	0	0	0
Anti-Capitalist Commando	1	0	0	0	0
Anti-Castro Command	3	0	0	3	1
Anti-Castro Group	3	0	0	0	0
Anti-Chon radical elements	1	0	0	1	1
Anti-Communist Command (KAK)	1	0	0	0	0
Anti-Communist Commando of the South	4	1	0	0	0
Anti-Communist rebels	1	2	10	0	0
Anti-Communist Viets Organization	1	1	0	1	1
Anti-Communist Vigilante Group	4	142	0	0	0
Anti-Environmentalist	3	0	2	0	0
Anti-Establishment Nucleus	2	0	0	2	1
Anti-Fascist Territorial Group	2	0	0	0	0
Anti-Government Demonstrators	7	5	7	0	0
Anti-Government Group	25	16	179	1	0.04
Anti-Government Guerrillas	20	143	21	3	0.15
Anti-Government Rebels	7	11	4	2	0.285714285714286
Anti-government rioters	1	30	0	0	0
Anti-govt student groups	1	0	0	0	0
anti-hunting protestors	1	0	0	0	0
Anti-Immigrant Activists	3	14	60	0	0
Anti-Imperialist Cell (AIZ)	3	0	0	0	0
Anti-Imperialist Commando	1	0	0	0	0
Anti-Imperialist Fighters for a Free Palestine	1	0	0	1	1
Anti-Imperialist International Brigades	4	0	0	4	1
Anti-Imperialist Territorial Nuclei (NTA)	2	0	0	0	0
Anti-Iran Government Exiles	10	0	16	10	1
Anti-Kurdish Turks	2	0	11	2	1
Anti-Marxist Commando	1	2	0	0	0
Anti-Monarchists	7	0	0	0	0
Anti-Narita Extremists	2	0	0	0	0
Anti-Nuclear Group	14	1	13	6	0.428571428571429
Anti-Nuclear Society for a Silent Counter-Offensive (ANGST)	1	0	0	1	1
Anti-Racist Guerrilla Nuclei	1	0	0	0	0
Anti-Revolutionary Agents	3	0	0	0	0
Anti-Semitists	1	0	0	0	0
Anti-Socials	2	1	0	0	0
Anti-Soviet protest group	1	0	0	1	1
Anti-State Action	3	0	0	0	0
Anti-State Justice	5	0	0	0	0
Anti-State Proletarian Nuclei	1	0	0	1	1
Anti-terrorism ETA (ATE)	8	1	0	1	0.125
Anti-terrorist Liberation Group (GAL)	20	19	7	12	0.6
Anti-U.S. radicals	1	0	0	1	1
Anti-Zionist Commandos	3	0	0	3	1
Anti-Zionist Movement	2	0	0	0	0
antiapartheid guerrillas	1	0	0	0	0
Antifascist Action	1	0	0	0	0
Antonia Martinez Student Commandos (AMSC)	1	0	0	0	0
Antonio	1	2	3	0	0
Anya-Nya II Militia	1	0	0	0	0
April 6th Liberation Movement	31	1	94	3	0.0967741935483871
Aqmur	1	0	0	1	1
Arab Commando Cells	1	3	0	1	1
Arab Communist Organization	10	1	9	10	1
Arab Democratic Party	4	0	0	4	1
Arab Liberation Army	1	1	1	0	0
Arab Liberation Front (ALF)	4	9	42	1	0.25
Arab People's Group	1	3	3	0	0
Arab Revenge Organization	1	0	0	1	1
Arab Revolution/Liberation Vanguard Organization	6	6	10	4	0.666666666666667
Arab Revolutionary Army	8	0	5	8	1
Arab Revolutionary Cells	3	4	9	2	0.666666666666667
Arab Revolutionary Front	1	0	1	1	1
Arab Separatists	23	13	29	0	0
Arab Socialist Baath Party	2	1	0	0	0
Arab Socialist Baath Party of Iraq	1	27	30	0	0
Arab Socialist Union Members	1	0	1	0	0
Arab Steadfastness Front	1	3	56	0	0
Arab Struggle	1	3	0	0	0
Arab Unionist Nationalist Organization	1	1	0	1	1
Arab Youth Group (Militant)	1	0	0	0	0
Arabian Peninsula Freemen	1	1	0	1	1
Arabs	17	3	25	3	0.176470588235294
Arakan Rohingy Islamic Front	1	8	0	0	0
Arauco Malleco Coordinating Group (CAM) - Chile	2	0	0	0	0
Arbav Martyrs of Khuzestan	1	8	85	0	0
Argentina Libre (Free Argentina)	1	0	1	0	0
Argentine Anticommunist Alliance (AAA)	19	55	33	4	0.210526315789474
Argentine Liberation Front (FAL)	7	1	0	4	0.571428571428571
Argentine National Organization Movement (MANO)	2	0	0	2	1
Argentine Youths for Sovereignty	1	0	0	1	1
Ariska Brodraskapet (Aryan Brotherhood)	1	0	2	0	0
Aristide supporters	4	15	0	0	0
Armata Corsa	3	0	0	1	0.333333333333333
Armata di Liberazione Naziunale (ALN)	8	1	0	7	0.875
Armed Action Force (FADA)	1	1	0	0	0
Armed Anti-Imperialist Movement	1	0	0	0	0
Armed Brigades	1	0	0	0	0
Armed Commandos for Liberation	1	0	0	0	0
Armed Commandos in the Fighting Army of Mario Zichieri	2	0	0	0	0
Armed Commandos of Liberation	13	5	0	12	0.923076923076923
Armed Commandos of Student Self Defense	1	0	0	1	1
Armed Communist Commando	1	0	0	1	1
Armed Communist Formations	5	0	2	3	0.6
Armed Communist Front	1	0	0	1	1
Armed Communist Nucleus	4	0	0	0	0
Armed Communist Struggle	3	0	1	3	1
Armed Falange	6	0	3	3	0.5
Armed Fight for Communism	4	0	0	0	0
Armed Fight for Workers Power	1	0	0	0	0
Armed Fighting Nucleus For Communism	1	0	0	0	0
Armed Forces for a Federal Republic (FARF)	1	0	0	0	0
Armed Forces for Liberation of East Timor (FALINTIL)	2	60	0	0	0
Armed Forces of National Resistance (FARN)	39	18	4	4	0.102564102564103
Armed Forces of Popular Resistance (FARP)	3	0	0	1	0.333333333333333
Armed Forces of the Chechen Republic of Ichkeria	12	99	153	0	0
Armed Forces Revolutionary Council (AFRC)	2	10	0	1	0.5
Armed Gold Miners	1	0	2	0	0
Armed Group for the Liberation of Guadeloupe (GLAG)	6	1	0	6	1
Armed Groups for Communism	1	0	3	1	1
Armed Groups of Organised Proletariat	1	1	1	0	0
armed guerrillas	1	1	0	1	1
Armed Islamic Group (GIA)	237	1461	1357	13	0.0548523206751055
Armed Islamic Movement	1	2	0	0	0
Armed Nuclei for Communism	2	0	1	0	0
Armed Nuclei for Territorial Counterpower	3	3	0	0	0
Armed Nucleus for Popular Autonomy	6	1	1	2	0.333333333333333
Armed Nucleus of Communist Workers	1	0	0	0	0
Armed People	21	35	8	3	0.142857142857143
Armed People's Units	1	0	0	1	1
Armed Proletarian Formations	1	0	0	0	0
Armed Proletarian Group	1	0	0	0	0
Armed Proletarian Groups for Communism	4	0	3	0	0
Armed Proletarian Nuclei (NAP)	30	7	10	6	0.2
Armed Proletarian Patrols	1	0	0	0	0
Armed Proletarian Power	6	1	0	5	0.833333333333333
Armed Proletarian Squads	6	0	3	0	0
Armed Proletariat Fighting Squad	1	0	1	0	0
Armed Radical Groups for Communism	1	0	0	1	1
Armed Revolutionary Action (Greece)	4	0	0	0	0
Armed Revolutionary Groups	1	0	0	0	0
Armed Revolutionary Independence Movement (MIRA)	30	0	11	2	0.0666666666666667
Armed Revolutionary Nuclei (NAR)	20	86	245	0	0
Armed Squads for Communism	3	0	1	0	0
Armed Struggle Cells	1	0	0	1	1
Armed Struggle for Communism	4	0	0	0	0
Armed Struggle for Proletarian Power	1	0	0	0	0
Armed Struggle Organization	1	1	1	1	1
Armed Subversives	1	4	3	0	0
Armed Vanguards of a Second Mohammed Army	1	24	100	1	1
Armed Womens Nuclei	1	0	0	0	0
Armed Workers Nuclei	1	0	0	0	0
Armed Workers Squads	4	0	0	0	0
Armenian Extremists	2	2	12	0	0
Armenian Group	5	0	0	3	0.6
Armenian Guerrillas	9	98	6	2	0.222222222222222
Armenian militants	4	23	43	1	0.25
Armenian Nationalists	3	9	0	0	0
Armenian Organization for Armed Struggle	1	0	0	0	0
Armenian paramilitary group	1	1	0	0	0
Armenian Red Army	1	0	1	1	1
Armenian Revolutionary Army	1	1	1	1	1
Armenian Secret Army for the Liberation of Armenia	188	62	378	127	0.675531914893617
Armenians	7	7	0	6	0.857142857142857
Army for Freeing Scotland	3	0	0	0	0
Army of God	24	3	124	0	0
Army of Islam	3	23	97	2	0.666666666666667
Army of State Liberators	1	0	1	0	0
Army of the Republic of Ilirida	2	0	1	0	0
Arnoldo Camu Command	1	0	0	1	1
Arsonists	2	0	21	0	0
Arsonists for Social Cohesion	3	0	0	3	1
Artigas Guard Commando	1	0	0	0	0
Artigas-Giachino Command	1	0	0	1	1
Arya	2	18	300	0	0
Aryan Brotherhood	2	0	0	0	0
Aryan Brotherhood of Texas	1	1	0	0	0
Aryan Nation	6	0	5	0	0
Aryan Republican Army	16	0	0	0	0
Asa'ib Ahl al-Haqq	10	4	7	2	0.2
Asbat al-Ansar	2	3	2	0	0
Ashuar Tribe	1	0	0	1	1
Association for the Enhancement of the Justice of the Great Japan	1	0	0	1	1
Association of Demobilized Armed Forces	3	0	0	0	0
Association of Mobil Spill Affected Communities (AMSAC)	1	0	0	1	1
Association of Students and Pupils in Mali (AEEM)	1	0	0	1	1
Association Totalement Anti-Guerre (ATAG)	1	0	0	0	0
Asylum Seekers	1	0	0	0	0
ATALA	1	1	0	0	0
Athens and Thessaloniki Arsonist Nuclei	8	0	0	6	0.75
Attaches	1	0	0	0	0
Attack Teams for the Dissolution of the Nation (Greece)	3	0	0	0	0
Aum Shinri Kyo	8	20	6003	0	0
Autonomen	2	2	0	0	0
Autonomous Anarchist Groups	1	0	0	0	0
Autonomous Anti-Capitalist Commandos (CAA)	10	1	0	3	0.3
Autonomous Decorators	1	0	0	0	0
Autonomous Group for Armed Action	1	0	0	0	0
Autonomous Groups	1	0	0	0	0
Autonomous Intervention Collective Against the Zionist Presence in France	1	0	26	0	0
Autonomous Manuel Rodriguez Patriotic Front	3	0	1	1	0.333333333333333
Autonomous Resistance	3	0	0	2	0.666666666666667
Autonomous Revolutionary Brigade	1	1	0	0	0
Autonomous Students	1	0	0	0	0
Autonomy (Greece)	1	0	0	1	1
Autonomy (Italy)	11	0	3	0	0
Autonomy Front	2	0	0	1	0.5
Autonomy-Seeking Arabs	3	7	60	0	0
Avenge the Arab Nation	1	0	1	1	1
Avengers of Peiper Group	1	0	0	0	0
Avengers of the Infants	2	0	28	0	0
Awami League	20	15	475	0	0
Azadejan (Liberation)	1	0	0	1	1
Azania People's Organization (AZAPO)	5	12	21	1	0.2
Azerbaijan Guerrillas	8	65	14	3	0.375
Azerbaijan Weapons Smugglers	1	0	0	0	0
Ba'adi (on my own behalf)	1	1	3	1	1
Baader-Meinhof Group	55	9	45	53	0.963636363636364
Babbar Khalsa	1	6	37	0	0
Babbar Khalsa International (BKI)	9	75	191	0	0
Baby Liberation Army	1	0	1	0	0
Badr Brigades	1	2	0	0	0
Bahujan Samaj Party	2	2	0	0	0
Baloch Liberation Army (BLA)	62	138	197	1	0.0161290322580645
Baloch Liberation Front (BLF)	7	14	1	1	0.142857142857143
Baloch Liberation Tigers (BLT)	1	11	14	0	0
Baloch Mussalah Diffah Tanzim (BMDT)	1	1	0	0	0
Baloch Nationalists	7	0	2	0	0
Baloch Republican Army (BRA)	49	41	166	0	0
Balochistan Liberation United Front (BLUF)	8	10	16	0	0
Baluchi Militant Defense Army	1	0	0	0	0
Baluchistan National Army	1	11	20	0	0
Bande des Rats (the rat pack) Ukranian Group	1	0	0	1	1
Bandits	12	29	1	5	0.416666666666667
Bangladesh Communist Party	1	3	0	0	0
Bangladesh National Socialist Party	1	0	4	0	0
Bangladesh Nationalist Party (BNP)	32	11	478	0	0
Bangladesh Road Transport Workers Federation	2	0	40	0	0
Bangladesh Sarbahara Party	6	47	48	0	0
Bangsamoro National Liberation Army	1	0	0	0	0
Bani Hilal Tribe	1	0	0	0	0
Bani Jaber tribe	1	0	0	1	1
Bani Nawaf tribe	1	0	0	1	1
Banner of Islam	1	0	1	1	1
Banya Tribe	1	7	0	0	0
Banyamulenge rebels	1	37	0	0	0
Barisan Revolusi Nasional (BRN)	5	7	6	1	0.2
Barzani Guerrillas	1	0	0	0	0
Basic People's Congresses	1	0	0	1	1
Basque Country Autonomous Self-Defense Group	1	1	0	0	0
Basque Fatherland and Freedom (ETA)	2027	818	2373	207	0.102121361618155
Basque guerrillas	2	1	0	0	0
Basque Justice	1	0	0	0	0
Basque Militants	2	0	0	0	0
Basque Rectitudes	6	0	0	0	0
Basque Refugee Support Group	1	0	0	1	1
Basque Separatists	7	4	38	3	0.428571428571429
Basque terrorists	4	2	2	1	0.25
Bavarian Liberation Army	3	0	7	1	0.333333333333333
BAY Bombers	1	0	0	0	0
Baya Tribe	1	1	0	0	0
Beaver 55	3	0	0	0	0
Bedouin tribesmen	2	0	0	1	0.5
Begumcans Cell	1	0	3	1	1
Beirut Martyrs Battalion	7	2	16	5	0.714285714285714
Beirut Martyrs Forces Organization	2	0	0	1	0.5
Beja Congress	4	1	2	0	0
Belarusian Liberation Army	2	0	2	0	0
Beli Orlovi (White Eagles)	1	0	2	1	1
Bengali Tiger Force (BTF)	1	2	4	0	0
Bersatu	1	1	23	0	0
Besi Merah Putih Militia	3	2	5	2	0.666666666666667
Bharat Zinc Workers	1	0	0	1	1
Bharatiya Janata Party	2	0	0	0	0
Bhinderanwale Tiger Force of Khalistan (BTHK)	9	50	75	0	0
Bhisan Himali Bag	1	0	0	0	0
Bhumi Uchched Pratirodh Committee (BUPC)	1	3	0	0	0
Bihar People's  Party ( Hindu militants)	1	1	0	0	0
Bin Zabyan Tribesmen	1	0	0	1	1
Bini-Oru	1	1	1	1	1
Black African Vigilantes	1	11	0	0	0
Black Afro Militant Movement	4	1	0	0	0
Black American Moslems	2	1	0	1	0.5
Black and Red Anarchist and Anti-Authoritarians Initiative (Greece)	1	0	0	0	0
Black Berets	3	7	1	1	0.333333333333333
Black Brigade	3	33	89	1	0.333333333333333
Black Brigade (United States)	1	0	0	1	1
Black Cells	2	0	0	2	1
Black December	2	2	1	2	1
Black Eagles	1	0	0	0	0
Black Flag (Bandera Negra)	2	17	0	0	0
Black Forest Command	1	0	0	0	0
Black Friday	1	0	0	1	1
Black Hand	2	19	40	1	0.5
Black Hand (Colombia)	6	32	0	1	0.166666666666667
Black Hawks (Anti-Wahhabists)	1	0	0	0	0
Black Lebanon	2	1	41	2	1
Black Liberation Army	36	19	7	0	0
Black Liberation Force	1	0	0	0	0
Black Liberation Front	3	0	0	0	0
Black Malian Group	1	4	0	0	0
Black Mambas	1	0	0	0	0
Black March	2	0	24	2	1
Black Muslims	6	17	2	1	0.166666666666667
Black Nationalists	91	19	31	1	0.010989010989011
Black Order	6	24	50	0	0
Black Panther Group (Palestinian)	17	16	9	6	0.352941176470588
Black Panthers	24	6	68	0	0
Black Revolutionary Assault Team	3	0	0	3	1
Black September	49	77	121	39	0.795918367346939
Black September II	9	4	23	6	0.666666666666667
Black Star	7	0	0	3	0.428571428571429
Black Tigers	1	1	0	0	0
Black War	2	0	0	0	0
Black Wednesday	3	0	0	1	0.333333333333333
Black Widows	12	55	5	0	0
Blacks	3	5	0	0	0
Bloque Anti-Guerrillero de Oriente (BAGO)	1	14	0	0	0
Blue Archer Group	1	1	3	0	0
Bodo Liberation Tigers (BLT)	9	78	107	0	0
Bodo Militants	87	376	401	1	0.0114942528735632
Bodo People’s Front (BPF)	1	1	0	0	0
Bodyguards of Muslim Warlord Governor Tupay Loong	1	3	0	0	0
Boer Republikeinse Leer	1	0	1	0	0
Boer Sentries	1	0	1	0	0
Boere Aanvals Troepe (BAT)	3	0	2	0	0
Boko Haram	151	699.999999999	583.000000001	3	0.0198675496688742
Bolivarian Army of Liberation	1	0	1	0	0
Bolivian Luminous Path	2	0	2	0	0
Bolivian Socialist Falange	8	0	3	1	0.125
Borana bandits	1	0	0	0	0
Boricua Revolutionary Front	1	0	0	0	0
Bosnian Croats	1	0	0	1	1
Bosnian refugee	1	0	0	0	0
Bosnian Serbs	2	0	3	1	0.5
Bougainville Revolutionary Army (BRA)	28	45	40	1	0.0357142857142857
Boz-Ok (Grey Arrow)	1	1	1	0	0
Brazilian Anti-Communist Alliance (AAB)	4	0	1	0	0
Brazilian Democratic Mobilization Party (PMBD)	1	0	0	0	0
Brelvi Muslims	2	5	4	0	0
Breton Liberation Front (FLB)	30	5	0	1	0.0333333333333333
Breton Separatists	6	0	7	0	0
Breton Terrorist	1	0	0	0	0
Brigadas Rojas	1	0	0	0	0
Brigades of Iman Hassan-al-Basri	1	3	0	0	0
Broad Commando of National Liberation	1	0	1	0	0
Broad Front	1	0	0	0	0
Brother Julian	1	0	12	1	1
Brunswijk Jungle Commando	41	20	12	4	0.0975609756097561
Buddhist Monks	31	0	0	0	0
Budget for the Popular Prep or Death	1	0	0	0	0
Bunda Dia Kongo (BDK)	1	12	5	0	0
Burma Communist Party	2	18	0	0	0
Burmese Minority Group Pirates	1	0	0	1	1
Burmese refugees	1	1	3	0	0
BZers	1	0	0	1	1
Cali Narcotics Cartel	2	2	0	1	0.5
Cambodian Freedom Fighters (CFF)	5	8	14	0	0
